X	Y	Z
440011	610976	-164.938
444677	615970	-172.721
439006	621663	-155.142
441287	617593	-172.721
416614	614986	-163.108
417130	617222	-172.721
492488	589770	-135.169
497273	595402	-166.977
496709	595555	-172.721
509394	595056	-128.527
514043	599314	-172.721
508911	597089	-172.721
504433	589151	-90.9597
504412	596544	-172.721
498701	589812	-89.821
499627	595961	-172.721
433444	609755	-168.1
421798	610020	-164.955
428812	609043	-152.67
427516	612391	-172.721
457791	603598	-159.476
462398	602756	-172.721
460679	605554	-172.721
483184	593563	-155.338
481596	595330	-172.721
477159	596093	-172.721
488172	592185	-165.642
488513	592730	-172.721
487904	592944	-172.721
484264	594625	-172.721
421598	612313	-172.721
419169	614872	-172.721
376797	669176	-129.627
378116	670628	-172.721
435731	617801	-172.721
435274	614945	-172.721
524006	597631	-172.721
541574	592958	-144.28
547157	593325	-163.612
546103	594693	-172.721
542403	595893	-172.721
540888	594919	-172.721
549138	575394	-169.513
545971	572217	-156.204
553004	595043	-172.721
551277	580560	-155.121
552293	561466	-117.134
555540	569522	-171.164
562297	572201	-130.94
556152	575949	-172.721
547015	567855	-158.787
556437	582714	-160.659
559841	579265	-151.041
282289	844970	-142.279
285464	842678	-172.721
285833	843325	-172.721
278094	840860	-158.233
284265	838919	-172.721
277733	834998	-156.028
282199	833551	-169.965
287466	846786	-172.721
283786	829133	-171.117
277058	824055	-143.644
279178	818730	-149.131
282633	814156	-162.484
283702	821306	-172.721
283672	809326	-149.511
286530	803353	-149.564
287971	807730	-172.721
287105	809547	-172.721
285750	796776	-157.385
287718	797547	-172.721
288798	801769	-172.721
285621	791496	-172.721
287748	795424	-172.721
243403	818959	-142.398
249686	818425	-164.235
297833	753801	-145.442
297496	749239	-125.047
301139	753940	-172.721
287507	771001	-167.443
288601	765396	-167.89
281585	785759	-148.528
282790	780404	-162.016
284611	780942	-172.721
285115	783732	-172.721
286313	786818	-172.721
285736	789930	-172.721
263238	823194	-142.728
261912	827727	-142.472
257301	819073	-162.753
252465	823342	-172.721
288468	759727	-162.468
290778	759664	-172.721
289916	764179	-172.721
280072	773150	-141.112
287276	772888	-172.721
257498	829405	-164.578
253790	825198	-172.721
255590	834948	-161.925
254238	832046	-172.721
241508	832298	-139.906
245586	829819	-166.524
245546	832681	-172.721
244711	825128	-162.129
284814	778525	-172.721
296534	736219	-160.545
302306	732852	-144.018
276860	932290	-141.208
281303	928211	-148.43
282091	965240	-172.721
283593	968526	-172.721
278267	922196	-152.208
282692	937142	-172.721
285669	944246	-172.721
282555	933349	-172.721
277758	948859	-151.821
280268	944282	-143.537
283017	946794	-172.721
292607	881162	-172.721
275203	902471	-126.724
275369	893837	-138.985
279595	897039	-172.721
289720	885549	-172.721
281270	888906	-172.721
278739	893609	-172.721
280468	905727	-154.119
280178	898943	-172.721
238458	839536	-102.47
247758	847448	-129.987
246241	842864	-152.62
248106	841244	-172.721
247890	824662	-172.721
245722	838722	-172.721
1.34E+06	765479	-172.721
1.34E+06	753270	-172.721
1.41E+06	628022	-75.2219
1.41E+06	626668	-172.721
1.41E+06	645548	-120.199
1.41E+06	643732	-149.488
1.41E+06	641542	-172.721
1.39E+06	656780	-172.721
1.39E+06	659692	-172.721
1.40E+06	639856	-93.5065
1.40E+06	634882	-150.328
1.39E+06	652730	-163.519
1.40E+06	648627	-157.598
1.40E+06	653177	-172.721
1.38E+06	667977	-132.81
1.39E+06	653121	-172.721
1.39E+06	668782	-172.721
1.41E+06	642703	-172.721
1.42E+06	649619	-172.721
1.42E+06	633720	-127.956
1.42E+06	637205	-133.608
1.42E+06	631936	-172.721
1.42E+06	645228	-120.661
1.42E+06	647759	-172.721
1.42E+06	646308	-172.721
1.41E+06	639219	-172.721
1.40E+06	632168	-95.8457
1.42E+06	639141	-172.721
1.42E+06	619308	-139.792
1.42E+06	621216	-172.721
1.42E+06	625829	-172.721
1.43E+06	639460	-39.3289
1.43E+06	633140	-130.855
1.44E+06	634551	-136.478
1.44E+06	638605	-119.229
1.44E+06	633651	-172.721
1.44E+06	638894	-172.721
1.42E+06	610982	-88.8611
1.42E+06	617628	-172.721
1.42E+06	619531	-172.721
1.43E+06	611326	-167.569
1.43E+06	612219	-172.721
1.42E+06	615956	-172.721
1.43E+06	605722	-162.904
1.42E+06	602612	-72.2765
1.43E+06	601968	-172.721
1.43E+06	598150	-74.1973
1.43E+06	601058	-172.721
1.37E+06	699645	-172.721
1.36E+06	701668	-172.721
1.39E+06	682533	-172.721
816226	551152	-91.2646
812189	558624	-172.721
806474	550555	-107.811
778956	546704	-91.5086
783806	549578	-72.4198
782394	550762	-172.721
803255	554700	-172.721
784546	551553	-172.721
796223	549818	-172.721
791240	549924	-172.721
1.26E+06	-19533.8	-119.056
1.26E+06	-107234	-124.895
1.26E+06	-107238	-172.721
1.27E+06	-86362.5	-121.841
1.27E+06	-92869.8	-172.721
1.27E+06	-86688.8	-172.721
1.27E+06	-37646.5	-77.128
1.27E+06	-38448.5	-172.721
1.27E+06	-36091.6	-172.721
1.26E+06	-2476.71	-137.061
1.26E+06	-9323.62	-117.073
1.26E+06	-26209.5	-87.9283
1.27E+06	-32724	-103.137
1.27E+06	-29160.8	-172.721
1.27E+06	-26729.8	-172.721
1.27E+06	-62089.7	-79.8887
1.27E+06	-65896.4	-172.721
1.27E+06	-63868.9	-172.721
1.26E+06	-113096	-172.721
1.23E+06	-140995	-87.4163
1.23E+06	-146974	-172.721
1.23E+06	-145066	-172.721
1.24E+06	22612.9	-67.3676
1.25E+06	16836	-143.002
1.25E+06	17969.3	-172.721
1.24E+06	33434.6	-112.48
1.24E+06	36583.6	-172.721
1.24E+06	29034.5	-168.413
1.24E+06	24627	-172.721
1.25E+06	51246.1	-172.721
1.25E+06	37171.2	-172.721
1.25E+06	6044.56	-120.619
1.25E+06	2192.95	-124.416
1.26E+06	6789.95	-172.721
1.25E+06	8094.81	-172.721
1.24E+06	29253.7	-172.721
1.25E+06	11927.7	-104.25
1.25E+06	9756.18	-172.721
1.26E+06	-272.882	-172.721
1.25E+06	13701.1	-172.721
1.25E+06	16457.9	-172.721
1.27E+06	-13201.4	-172.721
315133	1.21E+06	-143.635
313212	1.19E+06	-121.825
308278	1.19E+06	-131.955
313723	1.19E+06	-172.721
318483	1.19E+06	-121.348
330214	1.20E+06	-158.207
326993	1.21E+06	-172.721
319080	1.18E+06	-145.636
319486	1.18E+06	-134.564
329608	1.19E+06	-172.179
301799	1.18E+06	-142.139
303895	1.18E+06	-120.805
309796	1.18E+06	-172.721
326411	1.16E+06	-115.842
323732	1.16E+06	-172.721
328063	1.16E+06	-172.721
330966	1.16E+06	-172.721
317996	1.15E+06	-172.721
302621	1.14E+06	-101.359
300984	1.14E+06	-121.008
305735	1.14E+06	-172.721
307239	1.11E+06	-89.5875
312298	1.11E+06	-172.721
304104	1.10E+06	-164.477
308497	1.10E+06	-172.721
299196	1.10E+06	-139.879
294202	1.09E+06	-126.802
296939	1.09E+06	-172.721
299304	1.09E+06	-172.721
300749	1.09E+06	-172.721
290591	1.09E+06	-109.639
295105	1.09E+06	-172.721
295773	1.09E+06	-172.721
292045	1.08E+06	-154.809
294216	1.08E+06	-172.721
291084	1.03E+06	-172.721
290319	1.08E+06	-156.483
292395	1.08E+06	-172.721
293559	1.08E+06	-172.721
288112	1.07E+06	-159.302
289873	1.07E+06	-172.721
291662	1.07E+06	-172.721
282215	991596	-146.846
286451	988743	-172.721
